gene_id	baseMean	LFC_MLE	lfcSE	stat	pvalue	padj	LFC_apeglm	is_transgene	direction
YER140W	1131.87508495764	-0.165065705710236	0.0715687732699816	-2.30639283263319	0.0210886921180716	0.0306155568723228	-0.162323235756991	FALSE	down_in_cellobiose
YGR081C	1405.10025541576	0.181154475344139	0.0786782724948543	2.3024714396975	0.0213086002516349	0.0309273852464334	0.177681709552974	FALSE	up_in_cellobiose
YLR172C	2916.12374649253	0.126241683576324	0.05486934680815	2.30076884307966	0.0214047004438164	0.0310594117764398	0.125055219899487	FALSE	up_in_cellobiose
YBR276C	3253.97923997121	0.108924258256271	0.0473548436995946	2.30017142379891	0.0214385101008745	0.0311010096162363	0.108273523928762	FALSE	up_in_cellobiose
YLR018C	2041.801101801	0.121854053451482	0.0530166967423077	2.29840900959493	0.0215385212135689	0.0312386034291761	0.120773686185039	FALSE	up_in_cellobiose
YOL008W	627.817584368021	-0.205289527776378	0.0893311748224695	-2.298072629005	0.0215576557800508	0.031258859304183	-0.200171584376559	FALSE	down_in_cellobiose
YNL022C	2089.55217810849	-0.128122741619221	0.0557617379450486	-2.29768200097139	0.021579894710651	0.0312836057550377	-0.12693622344423	FALSE	down_in_cellobiose
YGL188C-A	163.761634971454	0.321235674930462	0.140068546225415	2.29341764148456	0.0218239719332347	0.0316298543618987	0.303969503911653	FALSE	up_in_cellobiose
YPR056W	1473.8528096272	-0.158883992068653	0.0693192891303033	-2.29206032061278	0.0219021626590735	0.0317355725352364	-0.156415601506563	FALSE	down_in_cellobiose
YOR089C	4315.90616429506	0.117163658793663	0.0511243110673471	2.29174058970342	0.0219206167218528	0.0317547041757523	0.116290456475804	FALSE	up_in_cellobiose
YLL027W	4087.98263786533	-0.113918135125745	0.049716749329073	-2.2913431924466	0.0219435723463668	0.031780346156807	-0.112995144199451	FALSE	down_in_cellobiose
YDR062W	5017.77937613666	-0.131713897048992	0.057493214205407	-2.29094683380225	0.0219664888058824	0.0318059191520174	-0.130190871176101	FALSE	down_in_cellobiose
YOR343C	94.6044169062899	-0.408527448990424	0.178375930666146	-2.29026106529494	0.0220061873939337	0.0318557734223338	-0.37580218014965	FALSE	down_in_cellobiose
YIL013C	4653.77153023984	0.126891698680164	0.0554507445374323	2.28836780711762	0.02211611076694	0.0320072356828077	0.125574109111226	FALSE	up_in_cellobiose
YKL052C	2375.04882358298	0.174915371688393	0.0765136927058221	2.2860662647783	0.0222503822114124	0.0321938544532589	0.171760225450429	FALSE	up_in_cellobiose
YFR001W	2351.0628867514	0.154395233901815	0.0676436372675339	2.28247977398339	0.022461030276594	0.0324908660877399	0.152014184944865	FALSE	up_in_cellobiose
YMR310C	1345.85599315872	0.136080777038806	0.0596765786857489	2.28030460250402	0.0225896290275976	0.0326690761259948	0.13394369002193	FALSE	up_in_cellobiose
YER011W	125521.213990271	0.147672249634626	0.0647832236926463	2.27948288487824	0.0226383762314675	0.0327312131094986	0.149261186190698	FALSE	up_in_cellobiose
YOL137W	1756.73336418527	-0.13621570719036	0.0597595104861813	-2.27939797501953	0.0226434185929468	0.0327312131094986	-0.134577371370953	FALSE	down_in_cellobiose
YGR237C	3325.92195161045	-0.113101045273376	0.0496263977744652	-2.27905006902537	0.0226640891414342	0.032753264307621	-0.112163259944731	FALSE	down_in_cellobiose
