gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
YLR036C	10.1156329479315	10.0407503202709	10.0504966678323	9.83393141628109	9.97637241845081	9.79033039689177
YLR037C	8.59589673697157	8.43894827949613	8.48802335223806	9.857780067765	9.66183731080895	9.64792703876174
YLR038C	9.29649994760871	9.1969810343349	9.17138421691913	11.8903670144579	11.591407063543	12.0229004778228
YLR039C	10.7943917081038	10.6987976867629	10.7457297217286	10.7576865168983	10.7681209911089	10.8153973109151
YLR040C	11.7656177410165	11.828102951069	11.8468059605014	10.9791062837715	11.0385095006431	10.9961447762761
YLR042C	10.1433657194874	10.1329033592711	10.1430122222564	9.12246776153807	8.97476115037546	9.16256069560649
YLR043C	12.5250770022517	12.4699149382396	12.5087746746106	12.8392794795192	12.644663105854	12.770501033248
YLR044C	17.4011079344551	17.3889915562985	17.5308763822365	17.6306614723046	17.6351351895205	17.5675301945759
YLR045C	11.2838678166844	11.2190079315122	11.2121963398013	11.173815514425	11.1749655229843	11.2762682082515
YLR046C	9.57172138485465	9.63077401117231	9.70995143819685	9.40174162387068	9.53093930594752	9.45985082906494
YLR047C	10.370471654291	10.456413540437	10.3094105414235	10.1615184180863	10.2553205998634	10.0278450325357
YLR048W	14.5188148858635	14.6388514268178	14.571176652797	14.6049113587892	14.6455280672939	14.6520350267794
YLR049C	10.9516618028591	10.8951125444394	10.9465027512639	10.7754692976061	10.7387691068557	10.7015049624823
YLR050C	10.4073293328729	10.3529191909441	10.4494105396805	10.3264231495444	10.2145090035893	10.3244198488888
YLR051C	10.963023671257	11.0835552793135	11.2297130302604	11.3586749624809	11.3541514676642	11.4742150933878
YLR052W	10.6965367458359	10.704815235044	10.6307487094135	11.1051617773215	10.9851035847771	10.9561438945317
YLR053C	7.49116926536429	7.61147441544829	7.59744318621366	8.04204261793243	8.09003757649208	7.94647361431902
YLR054C	9.58832848286093	9.66667814462881	9.5410234320553	9.66610695538634	9.72308407366851	9.51260151237573
YLR055C	11.0915193574822	11.1267760489316	11.0884150395508	11.4473171401399	11.3581308771986	11.4908810774836
YLR056W	14.0072492819343	14.0981403111422	14.3496926523696	14.8639490078944	14.6869654446895	15.1912491534283
YLR057W	11.1082452665116	11.0852861382575	11.1576289747194	10.9043024680344	10.9181378356937	11.0033728104481
YLR058C	16.0194499092074	16.0276809602225	15.9086429337932	14.0625976714952	14.1251885991498	13.9791788764735
YLR059C	11.1342329346864	11.1881987453208	11.2290432296957	11.4017698275048	11.3143270434536	11.3872549062719
