UniqueCount	AmbigCount
1812	0
4186	0
1420	0
2092	0
5423	0
1526	0
1312	0
8422	0
9	0
7393	0
614	0
0	12
0	2680
761	8000
995	0
2443	0
1637	0
2374	0
7183	0
2717	0
18965	23483
5965	0
1462	0
0	58
2143	0
19	0
1796	0
1056	0
0	16
15413	1668
2275	0
216	0
945	0
2476	0
918	0
7224	0
1127	0
5148	0
1251	0
1911	0
6268	0
5069	0
5932	10929
1443	0
3255	0
2208	0
0	31
6692	0
0	6
254890	0
2833	0
3313	0
56	0
3387	0
14841	4640
1485	0
1942	0
2185	0
450	0
3289	0
50363	0
1320	0
3891	0
2100	0
18002	0
19494	0
1030	0
30	387044
7971	0
2526	0
18	15
2006	0
1815	0
5026	0
1401	0
805	0
1727	0
3219	0
1392	0
2332	0
2121	0
719	0
49	0
22998	0
1958	0
9334	0
1521	0
32287	0
0	0
1151	0
1353	0
3954	0
9856	0
6507	0
3260	0
1039	0
13493	0
0	0
6569	0
199078	280994
4997	0
1982	0
2222	0
4058	0
1457	0
3743	0
2702	0
3422	0
3289	0
7709	0
1847	0
63302	0
71	0
914	0
883	0
4534	0
3061	0
8828	0
3985	0
3161	0
947	0
434	0
23898	1229
1411	0
1388	0
1468	0
0	37
7293	0
2207	0
1484	0
24	80
0	80
1515	0
2451	0
1265	0
658	0
1152	0
20	0
6647	0
859	0
5061	0
2388	0
2179	1
4759	0
2893	0
87	0
3919	0
1543	0
4107	0
24727	0
190	0
2347	0
1167	0
5609	0
3050	0
2742	0
989	0
819	0
102	0
3918	0
1324	0
3069	0
7123	0
205412	245414
5049	0
0	7
1978	0
3351	0
3684	0
99938	0
3487	0
2405	0
1145	0
9234	0
984	0
10540	0
1904	0
6065	0
2594	0
1767	0
98	0
2654	0
1496	0
3084	0
2409	0
1580	0
16465	0
4455	0
3510	0
47088	0
1690	0
4615	0
15739	0
12729	0
711	182
1707	0
1392	0
18	538
12	3851
4236	11567
0	86719
141	45165
0	8133
23	0
3704	5142
19857	0
23	4594
120	14
2090	0
747	0
522	0
9	0
7955	0
2914	0
1856	0
22	0
8446	0
4754	0
14503	0
13288	16242
4639	0
2307	0
1910	0
3603	0
10587	0
13316	0
1450	0
3947	0
1398	0
2971	0
269	0
4266	0
4395	0
2378	0
134	0
2328	0
2861	0
32	0
31706	0
1271	0
1656	0
827	0
4064	0
811	0
1088	0
0	762
0	4795
1929	0
4877	0
411	0
140	0
2991	0
4062	0
4706	0
5254	14741
2572	0
541	0
1116	0
2829	0
5583	0
4959	0
2905	0
8368	0
20718	0
121	0
3449	0
4641	0
21583	253
757	0
2538	0
1584	0
320	0
971	0
4275	0
2006	0
111339	0
19725	0
12951	0
0	31
13228	0
362	75
753	75
23	0
2115	0
3535	0
6369	0
7364	0
8759	0
5736	0
7478	0
5784	1
1971	0
3855	0
1765	0
1223	0
596	0
1501	0
5277	0
908	0
4855	0
15161	0
2139	0
1773	0
13193	0
1850	1300
862	1300
4276	0
2594	0
3387	0
2698	0
10836	0
3706	0
116	0
1633	0
3099	0
61173	93545
0	81825
0	85666
0	5188
1926	5188
2840	0
2073	0
1366	0
1541	0
1204	0
1393	0
3689	0
15799	0
3336	0
2602	861
976	0
9819	0
3909	0
2514	0
21436	0
5684	0
3142	0
6459	0
4789	0
2575	0
2673	0
4572	0
2524	0
2485	0
106	0
2450	0
2170	0
3495	0
2573	0
2250	0
1724	0
2001	0
20	0
1436	0
2662	0
5164	0
1889	0
2163	0
3860	2345
144	0
17831	1848
4087	1465
2924	0
4419	0
5161	0
927	0
1056	0
2826	0
2696	0
4900	0
766	0
2277	0
3160	0
4433	0
752	0
3703	0
2981	0
18863	0
4674	0
2450	0
2356	0
373	0
2647	0
1251	0
2348	0
1677	0
2305	0
3502	0
3098	0
1581	0
0	1
167	0
313	0
1185	0
1154	0
978	0
89	0
2767	2
5473	0
1361	0
2773	0
1469	0
6183	0
254	0
1825	0
1972	0
35	839
16	839
131	0
321	0
44	0
5481	23540
3749	0
19555	0
1328	0
1463	0
8702	0
1355	0
716	0
2159	0
2740	0
2049	0
1608	0
237	0
2162	0
2276	0
22	0
970	0
219	0
3462	0
1443	0
330	0
10674	1
48924	0
6871	0
1429	0
2763	0
1622	0
910	0
1040	0
2260	0
3920	0
1492	0
1034	0
172	0
153740	245414
4017	0
313	0
4471	0
940	0
1205	0
28797	0
1347	0
0	5
2066	0
1396	0
32141	0
1067	0
77	0
2315	0
1871	0
4421	0
637	0
11598	0
863	0
2069	0
18587	0
2311	0
2547	0
3473	0
1320	0
2238	0
7569	0
438	0
6633	0
3424	0
720	0
10146	41672
2531	0
3449	0
3214	0
2846	0
47727	0
1502	0
1418	0
614	1060
0	39
0	102
43	0
6	65
3	274
149	405870
0	115010
95	0
80	0
133	4374
12999	4126
0	23704
0	44403
0	68231
144	3668
417	19
47	47
9	5815
185	865
98	105
229	784
5248	4072
1054	0
1201	0
1808	0
2969	0
230	0
2825	0
1731	0
272	0
939	0
1463	0
1856	0
1291	0
1392	0
721	0
5048	0
2423	0
1807	0
3171	0
667	0
3761	0
19423	13446
2580	0
1942	0
4546	0
2930	0
4396	0
6539	0
2289	0
1656	0
3474	0
3442	0
4191	0
4651	0
18	0
46	0
787	0
18373	11
416	0
1401	0
4510	0
3343	0
2683	0
1794	0
4583	0
